Column1,Avg attention,Avg Performance,Column4,Column5,,,
165,0.7,1,FALSE,0,,,
166,0.68,1,FALSE,0,,,
167,0.66,1,FALSE,0,,,
168,0.64,1,FALSE,0,,,
169,0.62,1,FALSE,0,,,
170,0.6,1,FALSE,0,,,
171,0.58,1,FALSE,0,,,
172,0.56,1,FALSE,0,,,
173,0.54,1,FALSE,0,,,
174,0.52,1,FALSE,0,,,
175,0.5,1,FALSE,0,,,
176,0.48,1,FALSE,0,,,
177,0.46,1,FALSE,0,,,
178,0.44,1,FALSE,0,,,
179,0.42,1,FALSE,0,,,
180,0.4,1,TRUE,0,,,
181,0.45,1,TRUE,0,,,
182,0.5,1,TRUE,0,,,
183,0.55,1,TRUE,0,,,
184,0.6,1,TRUE,0,,,
185,0.65,1,TRUE,0,,,
186,0.7,1,TRUE,0,,,
187,0.75,1,TRUE,100,,,
188,0.8,1,TRUE,100,,,
189,0.85,1,TRUE,100,,,
190,0.9,1,TRUE,100,,,
191,0.95,1,TRUE,100,,,
192,1,1,TRUE,100,,,
193,1,1,TRUE,100,,,
194,1,1,TRUE,100,,,
195,1,1,TRUE,100,,,
196,1,1,TRUE,100,,,
197,1,1,TRUE,100,,,
198,1,1,TRUE,100,,,
199,1,1,TRUE,100,,,
200,1,1,TRUE,100,,,
201,1,1,TRUE,100,,,
202,1,1,TRUE,100,,,
203,1,1,TRUE,100,,,
204,1,1,TRUE,100,,,
205,1,1,TRUE,100,,,
206,1,1,TRUE,100,,,
207,1,1,TRUE,100,,,
208,1,1,TRUE,100,,,
209,1,1,TRUE,100,,,
210,1,1,FALSE,100,,,
211,0.98,1,FALSE,100,,,
212,0.96,1,FALSE,100,,,
213,0.94,1,FALSE,100,,,
214,0.92,1,FALSE,100,,,
215,0.9,1,FALSE,100,,,
216,0.88,1,FALSE,100,,,
217,0.86,1,FALSE,100,,,
218,0.84,1,FALSE,100,,,
219,0.82,1,FALSE,100,,,
220,0.8,1,FALSE,100,,,
221,0.78,1,FALSE,100,,,
222,0.76,1,FALSE,100,,,
223,0.74,1,FALSE,100,,,
224,0.72,1,FALSE,100,,,
225,0.7,1,FALSE,0,,,
226,0.68,1,FALSE,0,,,
227,0.66,1,FALSE,0,,,
228,0.64,1,FALSE,0,,,
229,0.62,1,FALSE,0,,,
230,0.6,1,FALSE,0,,,
231,0.58,1,FALSE,0,,,
232,0.56,1,FALSE,0,,,
233,0.54,1,FALSE,0,,,
234,0.52,1,FALSE,0,,,
235,0.5,1,FALSE,0,,,
236,0.48,1,FALSE,0,,,
237,0.46,1,FALSE,0,,,
238,0.44,1,FALSE,0,,,
239,0.42,1,FALSE,0,,,
240,0.4,1,TRUE,0,,,
241,0.45,1,TRUE,0,,,
242,0.5,1,TRUE,0,,,
243,0.55,1,TRUE,0,,,
244,0.6,1,TRUE,0,,,
245,0.65,1,TRUE,0,,,
246,0.7,1,TRUE,0,,,
247,0.75,1,TRUE,100,,,
248,0.8,1,TRUE,100,,,
249,0.85,1,TRUE,100,,,
250,0.9,1,TRUE,100,,,
251,0.95,1,TRUE,100,,,
252,1,1,TRUE,100,,,
253,1,1,TRUE,100,,,
254,1,1,TRUE,100,,,
255,1,1,TRUE,100,,,
256,1,1,TRUE,100,,,
257,1,1,TRUE,100,,,
258,1,1,TRUE,100,,,
259,1,1,TRUE,100,,,
260,1,1,TRUE,100,,,
261,1,1,TRUE,100,,,
262,1,1,TRUE,100,,,
263,1,1,TRUE,100,,,
264,1,1,TRUE,100,,,
265,1,1,TRUE,100,,,
266,1,1,TRUE,100,,,
267,1,1,TRUE,100,,,
268,1,1,TRUE,100,,,
269,1,1,TRUE,100,,,
270,1,1,FALSE,100,,,
271,0.98,1,FALSE,100,,,
272,0.96,1,FALSE,100,,,
