cycle,avg_attention,avg_performance,is_break,high_attention_count,0,,,
156,0.88,1,FALSE,25,,,,
157,0.86,1,FALSE,25,,,,
158,0.84,1,FALSE,25,,,,
159,0.82,1,FALSE,25,,,,
160,0.8,1,FALSE,25,,,,
161,0.78,1,FALSE,25,,,,
162,0.76,1,FALSE,25,,,,
163,0.74,1,FALSE,25,,,,
164,0.72,1,FALSE,25,,,,
165,0.7,1,FALSE,0,,,,
166,0.68,1,FALSE,0,,,,
167,0.66,1,FALSE,0,,,,
168,0.64,1,FALSE,0,,,,
169,0.62,1,FALSE,0,,,,
170,0.6,1,FALSE,0,,,,
171,0.58,1,FALSE,0,,,,
172,0.56,1,FALSE,0,,,,
173,0.54,1,FALSE,0,,,,
174,0.52,1,FALSE,0,,,,
175,0.5,1,FALSE,0,,,,
176,0.48,1,FALSE,0,,,,
177,0.46,1,FALSE,0,,,,
178,0.44,1,FALSE,0,,,,
179,0.42,1,FALSE,0,,,,
180,0.4,1,TRUE,0,,,,
181,0.45,1,TRUE,0,,,,
182,0.5,1,TRUE,0,,,,
183,0.55,1,TRUE,0,,,,
184,0.6,1,TRUE,0,,,,
185,0.65,1,TRUE,0,,,,
186,0.7,1,TRUE,0,,,,
187,0.75,1,TRUE,25,,,,
188,0.8,1,TRUE,25,,,,
189,0.85,1,TRUE,25,,,,
190,0.9,1,TRUE,25,,,,
191,0.95,1,TRUE,25,,,,
192,1,1,TRUE,25,,,,
193,1,1,TRUE,25,,,,
194,1,1,TRUE,25,,,,
195,1,1,TRUE,25,,,,
196,1,1,TRUE,25,,,,
197,1,1,TRUE,25,,,,
198,1,1,TRUE,25,,,,
199,1,1,TRUE,25,,,,
200,1,1,TRUE,25,,,,
201,1,1,TRUE,25,,,,
202,1,1,TRUE,25,,,,
203,1,1,TRUE,25,,,,
204,1,1,TRUE,25,,,,
205,1,1,TRUE,25,,,,
206,1,1,TRUE,25,,,,
207,1,1,TRUE,25,,,,
208,1,1,TRUE,25,,,,
209,1,1,TRUE,25,,,,
210,1,1,FALSE,25,,,,
211,0.98,1,FALSE,25,,,,
212,0.96,1,FALSE,25,,,,
213,0.94,1,FALSE,25,,,,
214,0.92,1,FALSE,25,,,,
215,0.9,1,FALSE,25,,,,
216,0.88,1,FALSE,25,,,,
217,0.86,1,FALSE,25,,,,
218,0.84,1,FALSE,25,,,,
219,0.82,1,FALSE,25,,,,
220,0.8,1,FALSE,25,,,,
221,0.78,1,FALSE,25,,,,
222,0.76,1,FALSE,25,,,,
223,0.74,1,FALSE,25,,,,
